Hindi Words,जनान,अनुभूति,गन्दगी,भुस्सा,रिस्ता,शिवसागर,टुनटनियां,मलकि,ओखनी,कचोट,बटखारा,विदेह,पाठी,शुरूए,समटाइये,बहादुरी,महल,चबा,डोले,उड़िया,हिनजइ,प्राणवान,जाम,पन्हेतल,कबज,नगिचाना,प्रतिक्षा,बैठलबैठल,रुक्कल,राष्ट्रीयता,सुनके,लजैतय,रोपनियां,दउगल,रुपइआ,घौरेघौर,केहु,गरिअबइ,कुण्डलियाँ,शहंशाह,संजिवनी,सम्मरसम्मर,काँड़ा,राँड़,दरबाजा,दुहारी,बापरेबाप,नगिनियां,मातृसत्तात्मक,फाड़फाड़,तेलिया,झूकना,छुत्तक,निपुतरा,बड़हलबगान,रंगदार,कूटइत,साजसज्जा,संवेदनशील,अभय,तिवारीमई,धमाचौकड़ी,कत्ल,चावल,शरमा,पोस्टसराय,जेठुआ,यमराज,छुअहो,उन्नेसबीस,पँकइटा,तुहु,गड़,गावतबजावत,कादोकीच,शौक,काजपरोज,हथअकेलेधेयान,अनस,लौटली,आवइवली,सहलावऽ,भटकइत,पूरी,करइलऽ,होनहारी,डेउढ़ोसवाइ,दारोगा,सुप्रसिद्ध,बारात,सासपुतोह,पुरवारी,संगीतमय,गोरखधंधा,फैलावे,कतित्व,बगैरह,लगलो,काढूँ,दोड़ेऽ,परोसे,नगद,सकपकाना,झमकउआ,खेतरियाहा,हकाना,निचलका,विकट,रोपनीडोभनी,कमेसरा,इन्द्रधनुष,कमिश्नर,तलुक,एतनो,महामारी,बनलउ,सिलेब,अन्दर,चपला,सतमासु,तसला,आईना,होशे,विचारकनखी,कर्जा,कहलन,लहकतइ,चिठ्ठी,छोलनी,चालीस,जाही,चोलीओढ़नी,बरातीसराती,सेहे,सुतलूं,हिनतइ,बरस,टभकऽ,निसास,अमेरिका,खतरनाक,समुझावे,रोकइ,गयाबिहार,गाँठ,ऊपरवला,निकासना,समुद्रगुप्त,गुमटी,हलुआय,बनबा,ठेलाएल,डेउढ़ी,बनइवइ,दांत,रहिके,बझावे,बेदरदा,निहाफींच,उछाल,ईगवर्नेस,सिकन्दरा,चिपकल,उत्पादन,नंगे,गैरमजरूआ,वर्मासितम्बर,रेला,गौरवमय,भोंकवा,जेतना,ठोकल,मूर्खाकुल,जनकंठ,कुरसीटेबुल,सूई,चलाव,रस्तवा,अनदिनमां,सरगीय,अक्किल,बइठावल,थकासा,मरेवला,ठंढाना,मंझोलका,बन्हलकइ,ढेकार,लगवे,आयम,खाँड़,विभागीय,उमड़,पढ़इले,लेमो,कापो,दीवाली,फूँकऽ,कान्ति,सांध,तपोवन,आदमियन,आदर्श,पढावेलिखावे,मसुआयल,गंजी,भेलो,चाट,छउड़ा,बिसबास,चुस,केतनउ,धपड़ाही,चोखालाल,खपखपाना,मार्च,नरहट,रगेदरगेद,रखलियै,जूड़ाचोटी,नजराल,गुमसाइन,देखू,बुधिआर,मिल्लत,मँझोलका,रतिका,मिश्रअगस्त,कसीदा,चुन,हतास,वें,अबधुर,हुलकइ,अस्मत,उड़े,कानूँ,हिआँहुआँ,घांसफूस,रायफलधारी,लालच,सेलेहरजी,लठैत,सँसरी,झुनकिया,लंगड़ा,दुनियाँ,भैलक,अ॰क्रि॰,बौसाह,लेइए,कुतवे,पीटपीट,दुन्नूं,खमौनी,बइठउलन,हमेसे,बउड़हवन,गावेवाला,अंगुरिया,काँपल,ओलीन,खुश,सेखरवा,दुपहरिवा,तड़पतड़प,द्रौपदी,मंगरीझंगरी,आदम,समूचे,बहुबेटी,कतर,सपनाबंशी,आहो,छुट्टा,छउँड़ी,दक्षता,गोड़हाँथ,व्यतीत,लगतै,ओकीडोकी,झुंड,टेकनिकल,कमरो,ठीकेठीक,टघड़ना,ग्रेट,झारके,कखनहीं,सुलेमान,बन्हना,धीरे,भंभोड़ना,क्रोधित,फरहीफुटहा,ससरेओली,छेड़,चर्चित,अभागल,प्रणाम,Max Similarity,Similarity
लीलादेवी,0.125,0.0,0.25,0.125,0.125,0.125,0.111,0.125,0.125,0.0,0.125,0.25,0.25,0.0,0.25,0.375,0.125,0.125,0.188,0.125,0.0,0.25,0.125,0.125,0.0,0.125,0.111,0.188,0.125,0.182,0.125,0.062,0.125,0.125,0.0,0.125,0.125,0.0,0.15,0.125,0.188,0.0,0.125,0.125,0.125,0.25,0.25,0.125,0.077,0.125,0.188,0.125,0.0,0.125,0.188,0.125,0.0,0.125,0.222,0.0,0.25,0.25,0.125,0.188,0.125,0.111,0.125,0.125,0.0,0.222,0.125,0.0,0.0,0.222,0.375,0.0,0.125,0.167,0.0,0.25,0.188,0.312,0.0,0.125,0.125,0.25,0.167,0.125,0.1,0.125,0.125,0.25,0.125,0.125,0.375,0.125,0.0,0.188,0.125,0.125,0.125,0.125,0.125,0.0,0.111,0.125,0.188,0.062,0.2,0.125,0.1,0.0,0.125,0.0,0.25,0.125,0.188,0.125,0.25,0.125,0.25,0.125,0.125,0.222,0.125,0.125,0.062,0.125,0.25,0.25,0.25,0.312,0.3,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.0,0.125,0.125,0.25,0.125,0.091,0.125,0.125,0.125,0.25,0.25,0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.0,0.083,0.25,0.125,0.125,0.125,0.125,0.111,0.0,0.2,0.0,0.312,0.125,0.125,0.125,0.125,0.188,0.125,0.25,0.125,0.188,0.125,0.125,0.188,0.0,0.125,0.25,0.0,0.188,0.125,0.125,0.375,0.0,0.125,0.125,0.125,0.125,0.125,0.227,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.25,0.25,0.125,0.125,0.0,0.188,0.125,0.25,0.125,0.125,0.188,0.0,0.188,0.188,0.125,0.0,0.25,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.278,0.188,0.312,0.062,0.125,0.125,0.188,0.125,0.125,0.0,0.125,0.125,0.125,0.25,0.062,0.125,0.125,0.125,0.125,0.375,0.125,0.125,0.188,0.0,0.188,0.188,0.0,0.188,0.2,0.125,0.125,0.25,0.0,0.25,0.0,0.125,0.125,0.125,0.125,0.125,0.062,0.25,0.0,0.125,0.0,0.375,0.125,0.125,0.25,0.125,0.188,0.125,0.25,0.125,0.0,0.222,0.25,0.125,0.0,0.125,0.125,0.375,बहादुरी
पैंसठ,0.0,0.0,0.0,0.167,0.167,0.143,0.111,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.071,0.0,0.0,0.056,0.25,0.0,0.0,0.1,0.2,0.188,0.0,0.1,0.0,0.0,0.0,0.0,0.167,0.143,0.1,0.0,0.0,0.0,0.0,0.062,0.125,0.077,0.0,0.0,0.0,0.0,0.071,0.0,0.167,0.0,0.125,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.2,0.0,0.0,0.111,0.083,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.2,0.0,0.0,0.083,0.0,0.1,0.0,0.0,0.111,0.0,0.15,0.0,0.125,0.071,0.143,0.125,0.167,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.05,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.167,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.2,0.0,0.0,0.1,0.1,0.167,0.0,0.2,0.0,0.2,0.0,0.0,0.071,0.0,0.0,0.2,0.083,0.143,0.045,0.0,0.0,0.0,0.083,0.0,0.0,0.2,0.0,0.0,0.0,0.125,0.0,0.125,0.062,0.1,0.071,0.2,0.125,0.083,0.0,0.0,0.167,0.0,0.1,0.0,0.3,0.1,0.1,0.0,0.167,0.125,0.1,0.0,0.167,0.2,0.0,0.167,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.045,0.167,0.2,0.0,0.0,0.0,0.167,0.2,0.0,0.083,0.0,0.071,0.0,0.0,0.0,0.167,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.286,0.0,0.0,0.062,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.083,0.143,0.0,0.167,0.2,0.0,0.0,0.125,0.1,0.0,0.0,0.083,0.062,0.062,0.071,0.1,0.0,0.1,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.143,0.0,0.0,0.0,0.167,0.071,0.0,0.0,0.143,0.0,0.0,0.143,0.0,0.0,0.0,0.083,0.3,पाठी
अनुभूति,0.143,0.929,0.143,0.143,0.143,0.143,0.222,0.143,0.143,0.0,0.0,0.143,0.0,0.286,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.125,0.0,0.286,0.0,0.214,0.222,0.0,0.143,0.091,0.143,0.143,0.188,0.0,0.143,0.0,0.143,0.143,0.2,0.0,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.188,0.077,0.0,0.143,0.143,0.286,0.214,0.125,0.0,0.214,0.0,0.111,0.143,0.188,0.0,0.143,0.0,0.0,0.0,0.143,0.0,0.143,0.111,0.0,0.143,0.0,0.111,0.0,0.0,0.0,0.083,0.214,0.0,0.0,0.0,0.214,0.143,0.0,0.143,0.0,0.0,0.2,0.143,0.188,0.143,0.143,0.0,0.0,0.286,0.0,0.0,0.143,0.0,0.0,0.071,0.143,0.0,0.167,0.143,0.143,0.143,0.2,0.0,0.2,0.143,0.143,0.143,0.0,0.143,0.143,0.214,0.0,0.143,0.071,0.143,0.0,0.111,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.125,0.1,0.0,0.286,0.214,0.0,0.143,0.143,0.214,0.143,0.143,0.0,0.125,0.0,0.0,0.143,0.182,0.143,0.143,0.143,0.0,0.0,0.143,0.143,0.143,0.0,0.0,0.125,0.0,0.125,0.125,0.143,0.143,0.071,0.125,0.083,0.0,0.0,0.071,0.143,0.0,0.111,0.143,0.1,0.143,0.0,0.143,0.312,0.0,0.214,0.0,0.0,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.429,0.0,0.143,0.143,0.0,0.091,0.143,0.0,0.071,0.0,0.0,0.143,0.143,0.143,0.0,0.0,0.143,0.0,0.071,0.0,0.143,0.125,0.071,0.143,0.143,0.286,0.143,0.0,0.286,0.15,0.0,0.143,0.143,0.0,0.214,0.143,0.214,0.0,0.214,0.125,0.143,0.0,0.0,0.0,0.143,0.0,0.286,0.0,0.286,0.071,0.214,0.0,0.0,0.214,0.0,0.286,0.143,0.143,0.0,0.143,0.0,0.312,0.0,0.143,0.143,0.0,0.25,0.125,0.0,0.0,0.0,0.143,0.143,0.143,0.125,0.0,0.143,0.0,0.143,0.0,0.143,0.143,0.0,0.143,0.214,0.0,0.0,0.143,0.0,0.0,0.143,0.143,0.143,0.0,0.143,0.143,0.111,0.0,0.0,0.143,0.143,0.0,0.929,अनुभूति
आग्रहहै,0.0,0.0,0.143,0.143,0.143,0.214,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.143,0.0,0.143,0.143,0.0,0.0,0.0,0.071,0.25,0.0,0.214,0.0,0.143,0.222,0.125,0.143,0.182,0.0,0.143,0.062,0.143,0.071,0.143,0.143,0.143,0.1,0.214,0.0,0.15,0.0,0.071,0.143,0.143,0.125,0.125,0.077,0.0,0.0,0.0,0.143,0.143,0.125,0.286,0.0,0.125,0.0,0.0,0.125,0.0,0.143,0.0,0.143,0.167,0.071,0.143,0.143,0.111,0.0,0.143,0.071,0.056,0.0,0.0,0.143,0.042,0.0,0.0,0.071,0.143,0.0,0.143,0.143,0.143,0.0,0.143,0.2,0.143,0.125,0.143,0.143,0.188,0.143,0.143,0.429,0.143,0.0,0.0,0.143,0.143,0.0,0.071,0.222,0.071,0.0,0.0,0.05,0.143,0.2,0.214,0.0,0.0,0.143,0.0,0.0,0.214,0.0,0.0,0.0,0.071,0.071,0.111,0.143,0.143,0.143,0.143,0.0,0.0,0.143,0.0,0.1,0.143,0.0,0.071,0.143,0.0,0.0,0.143,0.143,0.0,0.071,0.188,0.071,0.143,0.0,0.182,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.143,0.125,0.0,0.25,0.188,0.0,0.143,0.143,0.188,0.125,0.071,0.214,0.0,0.0,0.0,0.111,0.0,0.1,0.0,0.0,0.143,0.0,0.143,0.143,0.0,0.0,0.143,0.0,0.0,0.214,0.143,0.143,0.071,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.071,0.214,0.0,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.286,0.25,0.214,0.0,0.143,0.071,0.0,0.143,0.143,0.0,0.071,0.2,0.0,0.0,0.071,0.0,0.143,0.071,0.143,0.0,0.0,0.188,0.0,0.111,0.0,0.125,0.143,0.143,0.0,0.143,0.0,0.143,0.286,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.071,0.143,0.062,0.25,0.0,0.0,0.0,0.143,0.125,0.0,0.286,0.2,0.071,0.0,0.143,0.143,0.0,0.143,0.143,0.0,0.143,0.214,0.143,0.286,0.0,0.0,0.0,0.143,0.0,0.0,0.357,0.143,0.143,0.0,0.214,0.143,0.0,0.286,0.278,0.143,0.0,0.143,0.143,0.286,0.429,बगैरह
डुचो,0.0,0.143,0.0,0.167,0.0,0.0,0.111,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.143,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.167,0.0,0.2,0.0,0.125,0.0,0.2,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.062,0.0,0.0,0.167,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.111,0.2,0.0,0.4,0.0,0.0,0.25,0.125,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.167,0.167,0.1,0.0,0.25,0.143,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.167,0.2,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.1,0.0,0.1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.125,0.167,0.0,0.0,0.25,0.111,0.0,0.0,0.0,0.083,0.2,0.1,0.0,0.188,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.25,0.0,0.0,0.0,0.0,0.091,0.2,0.2,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.25,0.111,0.0,0.1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.167,0.0,0.25,0.125,0.1,0.0,0.25,0.0,0.0,0.214,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.143,0.0,0.167,0.0,0.143,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.2,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.125,0.062,0.0,0.0,0.0,0.2,0.143,0.0,0.0,0.25,0.167,0.0,0.0,0.143,0.0,0.0,0.143,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.143,0.111,0.0,0.125,0.167,0.0,0.0,0.5,कचोट
मिक्सिंग,0.0,0.125,0.25,0.25,0.25,0.375,0.222,0.25,0.0,0.062,0.0,0.125,0.0,0.0,0.062,0.0,0.062,0.0,0.0,0.125,0.125,0.125,0.062,0.125,0.062,0.125,0.333,0.0,0.25,0.091,0.125,0.0,0.25,0.125,0.0,0.0,0.062,0.125,0.2,0.125,0.125,0.15,0.062,0.0,0.0,0.0,0.0,0.312,0.115,0.0,0.125,0.125,0.125,0.125,0.125,0.25,0.062,0.125,0.111,0.0,0.125,0.188,0.125,0.0,0.062,0.167,0.0,0.062,0.0,0.167,0.125,0.0,0.062,0.056,0.125,0.125,0.062,0.083,0.125,0.0,0.0,0.062,0.125,0.0,0.062,0.0,0.111,0.125,0.25,0.0,0.125,0.0,0.25,0.125,0.0,0.25,0.125,0.125,0.062,0.0,0.125,0.125,0.125,0.125,0.111,0.125,0.188,0.25,0.0,0.188,0.1,0.312,0.125,0.0,0.062,0.0,0.188,0.125,0.0,0.188,0.125,0.0,0.0,0.167,0.125,0.062,0.125,0.25,0.0,0.125,0.0,0.0,0.1,0.062,0.188,0.125,0.125,0.125,0.25,0.25,0.125,0.062,0.125,0.125,0.062,0.0,0.375,0.227,0.062,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.188,0.312,0.188,0.125,0.25,0.062,0.208,0.0,0.062,0.125,0.0,0.125,0.167,0.188,0.15,0.062,0.0,0.125,0.25,0.188,0.375,0.0,0.25,0.062,0.125,0.188,0.125,0.125,0.125,0.062,0.0,0.25,0.062,0.0,0.062,0.062,0.0,0.125,0.25,0.188,0.0,0.188,0.125,0.091,0.125,0.125,0.0,0.0,0.0,0.25,0.125,0.062,0.0,0.0,0.0,0.188,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.312,0.188,0.25,0.35,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.062,0.125,0.125,0.0,0.0,0.062,0.0,0.125,0.188,0.25,0.125,0.125,0.375,0.125,0.0,0.062,0.0,0.25,0.062,0.0,0.188,0.0,0.062,0.25,0.062,0.0,0.0,0.062,0.125,0.0,0.125,0.25,0.062,0.062,0.0,0.062,0.188,0.0,0.125,0.0,0.25,0.062,0.125,0.125,0.125,0.125,0.25,0.062,0.125,0.0,0.125,0.125,0.188,0.062,0.125,0.0,0.125,0.312,0.0,0.125,0.0,0.25,0.125,0.125,0.375,शिवसागर
समझाये,0.167,0.0,0.0,0.25,0.25,0.143,0.111,0.083,0.0,0.0,0.167,0.167,0.167,0.0,0.571,0.143,0.083,0.167,0.167,0.167,0.0,0.125,0.167,0.143,0.0,0.143,0.111,0.0,0.0,0.136,0.25,0.167,0.125,0.0,0.0,0.143,0.167,0.0,0.1,0.167,0.071,0.15,0.167,0.167,0.167,0.167,0.25,0.125,0.115,0.125,0.167,0.167,0.0,0.143,0.125,0.167,0.0,0.188,0.167,0.167,0.125,0.188,0.0,0.167,0.25,0.278,0.167,0.333,0.0,0.111,0.167,0.0,0.0,0.111,0.143,0.0,0.143,0.083,0.083,0.0,0.0,0.25,0.0,0.0,0.0,0.143,0.167,0.167,0.05,0.167,0.125,0.143,0.214,0.125,0.333,0.0,0.0,0.0,0.167,0.167,0.167,0.0,0.214,0.167,0.111,0.167,0.167,0.0,0.0,0.333,0.0,0.143,0.0,0.0,0.214,0.0,0.25,0.0,0.167,0.25,0.25,0.167,0.167,0.111,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.15,0.25,0.083,0.0,0.083,0.0,0.167,0.286,0.167,0.571,0.0,0.125,0.167,0.167,0.214,0.136,0.167,0.167,0.167,0.167,0.167,0.0,0.167,0.167,0.5,0.167,0.125,0.167,0.125,0.188,0.0,0.143,0.167,0.125,0.125,0.167,0.25,0.167,0.167,0.0,0.167,0.0,0.15,0.083,0.167,0.25,0.188,0.25,0.0,0.167,0.167,0.25,0.167,0.214,0.0,0.167,0.167,0.167,0.167,0.214,0.167,0.167,0.167,0.167,0.167,0.0,0.167,0.167,0.0,0.333,0.0,0.182,0.25,0.0,0.167,0.167,0.167,0.25,0.083,0.167,0.167,0.143,0.143,0.167,0.0,0.125,0.167,0.125,0.167,0.286,0.167,0.0,0.083,0.214,0.167,0.05,0.25,0.0,0.167,0.167,0.0,0.0,0.167,0.167,0.167,0.0,0.143,0.222,0.167,0.188,0.0,0.083,0.214,0.167,0.143,0.0,0.0,0.167,0.167,0.167,0.0,0.0,0.167,0.0,0.333,0.0,0.25,0.125,0.167,0.0,0.0,0.25,0.125,0.0,0.0,0.1,0.167,0.417,0.143,0.0,0.188,0.0,0.167,0.0,0.167,0.143,0.167,0.0,0.0,0.083,0.143,0.167,0.143,0.167,0.167,0.417,0.0,0.214,0.167,0.167,0.143,0.0,0.111,0.214,0.167,0.0,0.167,0.167,0.571,समटाइये
गन्दगी,0.167,0.143,0.917,0.167,0.167,0.143,0.111,0.0,0.25,0.0,0.0,0.167,0.167,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.167,0.125,0.0,0.286,0.0,0.143,0.111,0.0,0.167,0.182,0.167,0.0,0.125,0.167,0.0,0.0,0.0,0.083,0.1,0.0,0.214,0.1,0.0,0.0,0.083,0.25,0.0,0.125,0.077,0.0,0.0,0.167,0.167,0.071,0.125,0.167,0.0,0.125,0.222,0.0,0.125,0.125,0.167,0.0,0.0,0.111,0.0,0.0,0.0,0.333,0.0,0.0,0.083,0.056,0.286,0.0,0.0,0.083,0.167,0.167,0.167,0.0,0.0,0.167,0.0,0.286,0.0,0.167,0.15,0.0,0.0,0.143,0.286,0.062,0.0,0.167,0.167,0.167,0.0,0.083,0.0,0.25,0.143,0.0,0.0,0.167,0.083,0.0,0.2,0.0,0.3,0.143,0.0,0.167,0.143,0.167,0.0,0.5,0.0,0.0,0.0,0.167,0.0,0.222,0.167,0.167,0.0,0.333,0.25,0.167,0.167,0.188,0.1,0.0,0.0,0.167,0.0,0.0,0.083,0.0,0.167,0.0,0.0,0.062,0.083,0.0,0.143,0.182,0.25,0.0,0.167,0.0,0.167,0.167,0.083,0.0,0.0,0.167,0.188,0.0,0.188,0.375,0.0,0.214,0.25,0.062,0.083,0.0,0.083,0.0,0.167,0.0,0.111,0.167,0.1,0.0,0.0,0.167,0.188,0.333,0.167,0.0,0.0,0.0,0.167,0.0,0.286,0.0,0.167,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.25,0.0,0.333,0.0,0.167,0.167,0.167,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.143,0.167,0.083,0.25,0.0,0.125,0.083,0.143,0.083,0.0,0.167,0.0,0.0,0.2,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.111,0.0,0.125,0.0,0.167,0.143,0.167,0.143,0.0,0.143,0.0,0.0,0.0,0.167,0.286,0.25,0.167,0.0,0.167,0.062,0.125,0.0,0.167,0.0,0.0,0.062,0.0,0.286,0.2,0.167,0.0,0.143,0.0,0.25,0.0,0.167,0.167,0.167,0.071,0.333,0.167,0.143,0.0,0.143,0.0,0.143,0.167,0.167,0.0,0.333,0.143,0.333,0.167,0.143,0.143,0.111,0.143,0.0,0.167,0.167,0.167,0.917,गन्दगी
हेरफेर,0.0,0.0,0.0,0.0,0.083,0.143,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.167,0.143,0.214,0.083,0.0,0.167,0.0,0.083,0.125,0.0,0.214,0.0,0.0,0.111,0.0,0.083,0.136,0.167,0.0,0.062,0.0,0.083,0.286,0.167,0.167,0.0,0.083,0.0,0.2,0.0,0.083,0.167,0.25,0.188,0.0,0.0,0.125,0.167,0.0,0.0,0.143,0.062,0.25,0.0,0.0,0.111,0.0,0.125,0.0,0.0,0.0,0.167,0.111,0.167,0.167,0.083,0.111,0.0,0.083,0.0,0.0,0.0,0.0,0.143,0.167,0.0,0.0,0.0,0.083,0.0,0.167,0.167,0.214,0.111,0.167,0.1,0.167,0.062,0.286,0.0,0.125,0.167,0.0,0.167,0.0,0.0,0.167,0.333,0.0,0.0,0.0,0.222,0.083,0.0,0.0,0.05,0.333,0.1,0.143,0.0,0.0,0.214,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.25,0.111,0.167,0.083,0.083,0.0,0.0,0.0,0.083,0.0,0.2,0.333,0.0,0.083,0.167,0.0,0.0,0.286,0.167,0.143,0.083,0.188,0.0,0.167,0.0,0.091,0.0,0.083,0.0,0.167,0.167,0.0,0.0,0.25,0.167,0.333,0.188,0.0,0.25,0.125,0.0,0.0,0.167,0.25,0.167,0.167,0.167,0.0,0.167,0.0,0.111,0.0,0.2,0.0,0.0,0.083,0.0,0.167,0.0,0.0,0.0,0.25,0.0,0.0,0.071,0.333,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.167,0.182,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.083,0.0,0.0,0.167,0.167,0.312,0.083,0.0,0.167,0.0,0.167,0.167,0.0,0.0,0.083,0.1,0.0,0.0,0.083,0.167,0.167,0.083,0.0,0.167,0.0,0.062,0.143,0.222,0.0,0.312,0.0,0.167,0.0,0.0,0.0,0.0,0.143,0.083,0.167,0.167,0.0,0.0,0.0,0.0,0.333,0.083,0.125,0.125,0.0,0.0,0.0,0.333,0.125,0.0,0.143,0.2,0.0,0.167,0.214,0.167,0.0,0.083,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.143,0.167,0.143,0.0,0.25,0.333,0.083,0.143,0.083,0.25,0.0,0.143,0.167,0.214,0.167,0.167,0.0,0.167,0.333,परोसे
